user.id,doc.id,rating
1,496,1
1,1632,1
1,2318,1
1,2527,1
1,2847,1
1,2932,1
1,3172,1
1,3298,1
1,3333,1
1,3405,1
1,3592,1
1,3596,1
1,3771,1
1,3951,1
1,4627,1
1,4663,1
1,4872,1
1,4890,1
1,5115,1
1,5325,1
1,5326,1
1,5615,1
1,5992,1
1,6104,1
1,6875,1
1,6969,1
1,7107,1
1,7802,1
1,7868,1
1,8904,1
1,9908,1
1,10009,1
1,10205,1
1,10273,1
1,10289,1
1,10509,1
1,10589,1
1,11010,1
1,11106,1
1,11227,1
1,11321,1
1,11651,1
1,11854,1
1,11920,1
1,12685,1
1,12717,1
1,12803,1
1,12804,1
1,12805,1
1,12806,1
1,12832,1
1,12917,1
1,13173,1
1,13188,1
1,13364,1
1,13924,1
1,13925,1
1,14663,1
1,14677,1
1,14852,1
1,15027,1
1,15166,1
1,15192,1
1,15283,1
1,15301,1
1,15337,1
1,15834,1
1,15895,1
1,16164,1
1,16425,1
2,494,1
2,943,1
2,1520,1
2,1844,1
2,1845,1
2,1897,1
2,2820,1
2,3392,1
2,5032,1
2,5573,1
2,6458,1
2,7400,1
2,8670,1
2,8991,1
2,10414,1
2,11914,1
2,12589,1
2,12897,1
2,13469,1
2,13617,1
2,13847,1
2,13857,1
2,14000,1
2,14038,1
2,14477,1
2,15048,1
2,15383,1
2,15423,1
2,15459,1
2,15516,1
2,15527,1
2,15635,1
2,15801,1
2,16023,1
2,16099,1
2,16439,1
2,16496,1
2,16746,1
3,518,1
3,792,1
3,801,1
3,1330,1
3,1768,1
3,1985,1
3,2127,1
3,3010,1
3,4459,1
3,4672,1
3,4793,1
3,5130,1
3,5267,1
3,6332,1
3,6386,1
3,6450,1
3,7749,1
3,7873,1
3,8801,1
3,9091,1
4,707,1
4,710,1
4,722,1
4,756,1
4,757,1
4,777,1
4,893,1
4,896,1
4,2589,1
4,2992,1
4,4974,1
4,5057,1
5,762,1
5,2679,1
5,4035,1
5,4036,1
5,5440,1
5,5495,1
5,5759,1
5,7799,1
5,9047,1
5,11878,1
5,11905,1
5,13251,1
6,649,1
6,650,1
6,662,1
6,671,1
6,690,1
6,691,1
6,692,1
6,810,1
6,900,1
6,954,1
6,955,1
6,1710,1
6,1965,1
6,1966,1
6,2026,1
6,3034,1
6,3658,1
6,4076,1
6,5452,1
6,5532,1
6,5549,1
6,5773,1
6,6038,1
6,6345,1
6,7168,1
6,7169,1
6,7303,1
6,7343,1
6,8025,1
6,8035,1
6,9482,1
7,3293,1
7,3580,1
7,3918,1
7,6248,1
7,6724,1
7,7493,1
7,7496,1
7,7500,1
7,8645,1
7,10224,1
7,11254,1
7,13407,1
8,1546,1
8,2527,1
8,5385,1
8,8899,1
8,9423,1
8,11106,1
8,11322,1
8,11547,1
8,12900,1
8,13588,1
9,862,1
9,2216,1
9,2462,1
9,3083,1
9,3446,1
9,3447,1
9,3516,1
9,4364,1
9,4398,1
9,4507,1
9,4833,1
9,4863,1
9,4888,1
9,4904,1
9,5119,1
9,5139,1
9,5268,1
9,5434,1
9,5769,1
9,6365,1
9,6784,1
9,6957,1
9,6979,1
9,6980,1
9,7281,1
9,7569,1
9,8588,1
9,8812,1
9,9056,1
9,9605,1
9,9850,1
9,10965,1
9,11829,1
9,11907,1
10,747,1
10,831,1
10,2001,1
10,2096,1
10,2440,1
10,2477,1
10,3091,1
10,3594,1
10,3888,1
10,4900,1
10,6621,1
10,7519,1
10,7591,1
10,7787,1
10,8184,1
10,8224,1
10,8287,1
10,8470,1
10,8704,1
10,8712,1
10,9591,1
10,10385,1
10,11901,1
10,13416,1
10,14003,1
10,14330,1
11,136,1
11,241,1
11,774,1
11,1125,1
11,1127,1
11,1129,1
11,1239,1
11,1390,1
11,1424,1
11,2450,1
11,2452,1
11,2453,1
11,2771,1
11,2915,1
11,2993,1
11,3469,1
11,3570,1
11,3661,1
11,3673,1
11,4703,1
11,4776,1
11,4781,1
11,5041,1
11,5217,1
11,6356,1
11,7651,1
11,7707,1
11,8969,1
11,9135,1
11,10411,1
11,10713,1
11,11028,1
11,11029,1
12,212,1
12,241,1
12,278,1
12,451,1
12,971,1
12,1042,1
12,1117,1
12,1756,1
12,1807,1
12,1920,1
12,2095,1
12,2435,1
12,2446,1
12,2452,1
12,2453,1
12,2743,1
12,2769,1
12,2830,1
12,2915,1
12,3008,1
12,3053,1
12,3077,1
12,3121,1
12,3867,1
12,4011,1
12,4013,1
12,4255,1
12,4382,1
12,4551,1
12,4552,1
12,4606,1
12,4610,1
12,4611,1
12,4639,1
12,4729,1
12,4778,1
